name,wrl1,category1,gender1,nation,age,weight,weight_mt,height,height_cur,cur_ref
Baasankhuu BAVUUDORJ,#2,-48,W,Mongolia,24,48,53.4,148,153,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2016792-bavuudorj-baasankhuu.htm
Maria ESCANO,#103,-57,W,Guam,22,56.8,,150,,
Tornike TSJAKADOEA,#21,-60,M,Netherlands,27,59.9,66.6,150,164,https://olympics.com/en/paris-2024/athlete/tornike-tsjakadoea_1966764
Marit KAMPS,#16,78,W,Netherlands,23,102.5,,150,175,https://olympics.com/en/paris-2024/athlete/marit-kamps_1966747
Juan POSTIGOS,#47,-66,M,Peru,35,65.6,,150,160,https://78884ca60822a34fb0e6-082b8fd5551e97bc65e327988b444396.ssl.cf3.rackcdn.com/up/2021/12/Rio_Olympic_Games_Judo_Results-1639651592.pdf
Geronay WHITEBOOI,#39,-48,W,South Africa,28,47.7,,150,152,https://www.teamsa.co.za/wp-content/uploads/TeamSA-Tokyo-2020-Olympic-Handbook.pdf
Diyora KELDIYOROVA,#1,-52,W,Uzbekistan,26,51.7,53.3,150,158,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2011977-keldiyorova-diyora.htm
Ryuju NAGAYAMA,#6,-60,M,Japan,28,59.7,64,151,156,https://ja.wikipedia.org/wiki/%E6%B0%B8%E5%B1%B1%E7%AB%9C%E6%A8%B9
Jacqueline SOLIS,#63,-48,W,Guatemala,35,47.7,,152,,
Gabriela NARVAEZ,#60,-48,W,Paraguay,29,47.8,,152,,
Natasha FERREIRA,#26,-48,W,Brazil,25,48,,153,152,https://admin.cob.org.br/uploads/CO_Bmedia_guide_mobile_2024_V3_89fd5895d0.pdf
Mary Dee VARGAS LEY,#21,-48,W,Chile,27,47.9,,153,154,https://tokio2020.rtve.es/es/resultados/judo/perfil-de-deportista-n1309833-vargas-ley-mary-dee.htm
Katharina MENZ,#25,-48,W,Germany,33,47.9,52.1,153,153,https://olympics.com/en/paris-2024/athlete/katharina-menz_1563084
Ka Lee WONG,#57,-48,W,"Hong Kong, China",26,47.9,,153,162,https://olympics.com/en/paris-2024/athlete/ka-lee-wong_1962123
Reka PUPP,#6,-52,W,Hungary,28,51.7,53.8,153,,
Catarina COSTA,#7,-48,W,Portugal,27,47.8,,153,154,https://comiteolimpicoportugal.pt/noticias/detalhe-da-noticia/?id=NEW-e0026952-5c75-4ba9-8f7d-f6eaa1656cae
Tara BABULFATH,#18,-48,W,Sweden,18,47.7,,153,154,https://olympics.com/en/paris-2024/athlete/tara-babulfath_1571911
Katharina TANZER,#40,-48,W,Austria,28,47.8,51.2,154,154,https://www.judoaustria.at/judoka/?q=Tanzer&judokaId=22271
Gultaj MAMMADALIYEVA,#23,-52,W,Azerbaijan,24,51.9,,154,,
